instances,feature_kDN,feature_Usefulness,feature_N2,feature_TD_P,feature_CL,feature_LSR,feature_DS,feature_N1,feature_Harmfulness,feature_DCP,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
1,0.0,0.9814285714285714,0.320535305776091,0.7142857142857143,0.002519425970473388,0.7920147002419717,0.5204081632653061,0.0,0.0,0.14893617021276595,0.20604911795490968,0.13673317547583994,0.03230546904457531,0.030094969394017134,0.09633110893843207,0.07765307156762873,0.08924672603896076
2,0.4,0.9966666666666667,0.412866336853441,0.5714285714285714,0.3425842279198674,0.9146364902824466,0.7551020408163265,0.0,0.0033333333333333335,0.1351351351351351,0.15415067982725836,0.3574334298739735,0.5655143040151371,0.5291764766148632,0.5256681968039195,0.6167815694392916,0.3257064145040695
3,0.0,0.9885714285714285,0.38966820461861496,0.14285714285714285,0.35496332566384736,0.718031934329107,0.0,0.0,0.0,0.11675126903553301,0.08004270767353637,0.06333868476043533,0.08009121127836166,0.06813757394458483,0.06252035698133393,0.17466458450017097,0.2784649181256224
4,0.2,0.9957142857142857,0.3950522926678569,0.5714285714285714,0.3253439450211897,0.6788829158199858,0.9489795918367347,0.0,0.0,0.5222222222222221,0.9833770250905249,5.7145471363192275,0.429225049417734,0.42348104238520595,0.9597758438138939,0.3516177222934077,0.32944830445489565
5,0.4,0.99,0.3297516438732394,0.5714285714285714,0.03483586800407512,0.803621859632937,0.9387755102040817,0.0,0.0,0.47777777777777775,0.6649763035932491,0.4566535022675006,0.6695057486581186,0.6290476047933434,0.5445366811083024,0.773865643982176,0.8470617171844512
6,0.2,1.0,0.6100736916351712,0.14285714285714285,0.9998181025052756,0.8740464555755103,0.9693877551020408,0.5,0.0014285714285714286,0.11675126903553301,0.37729423114146804,0.29228830910597847,0.8497505610367613,0.8787499303026192,0.2217632888452514,0.8356047592820366,0.38367637405757765
7,0.4,0.9928571428571429,0.48465251693936295,0.14285714285714285,0.01565230735014056,0.8680437212071515,0.9387755102040817,0.0,0.0,0.11675126903553301,0.031010236742560322,0.00783180405409795,0.1634700756658545,0.15878142610668505,0.0659579677917974,0.18822112526265966,0.22882015279169282
8,0.2,1.0,0.5126756805852656,0.5714285714285714,0.23266556211657308,0.7796405036259557,0.846938775510204,1.0,0.0,0.5222222222222221,0.6836684366054016,0.42960788638935576,0.31081401387388446,0.283596491295001,0.623786052762443,0.35311334178785975,0.4904583848147586
9,0.0,0.9971428571428571,0.35842150991428345,0.14285714285714285,0.0033021449555337146,0.7340478561246957,0.24489795918367352,0.0,0.0,0.11675126903553301,0.01398624197473984,0.013762023354134569,0.05253998309158348,0.04491166828281659,0.05218575317057019,0.15175820388651307,0.15164302274400748
10,0.2,0.9966666666666667,0.01583767969311256,0.5714285714285714,0.41727990153763617,0.7965338631601548,0.9387755102040817,0.0,0.0,0.47777777777777775,0.262364264467491,0.6660974803456456,0.4201524606556986,0.3538923312650008,0.33243997309327455,0.7144561060816907,0.19375933334113843
11,0.6,0.9966666666666667,0.5492345567414487,0.8571428571428571,0.06063394950048939,0.8788813086451019,0.9693877551020408,1.0,0.0,0.7466666666666666,0.41238555095273816,0.45891051611972145,0.43016408216576935,0.4200045583756822,0.38027485927960586,0.664918671177631,0.3519932533510667
12,0.6,0.9966666666666667,0.6117632900072139,0.5714285714285714,0.006366554647960987,0.8945023671146353,0.9489795918367347,0.5,0.006666666666666667,0.1351351351351351,0.4325460667108351,0.023347254917307332,0.3738998470672695,0.363970533042909,0.44895022004790314,0.5604308382925046,1.074642346820883
13,0.8,0.9971428571428571,0.5108484788848866,0.8571428571428571,0.17880732494270324,0.905696425021268,1.0,0.5,0.0014285714285714286,0.2533333333333333,0.5711322299969817,0.7683878559413572,0.12121108327400817,0.1084072708151609,0.5002435144354537,0.15874489732931824,0.5143735450696054
