feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4
0.8,1.0,0.8888888888888888,0.5454545454545454,1.0,0.7947785395325817,0.7947785395325817,0.0,0.6653333333333333,1.0,0.5759700873264719,1.0,0.9935099179553805,0.00199203187250996,1.0,1.0,0.78072268066865,0.8317926356614863,0.8828625906543226
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,0.04927337475720672,0.04927337475720672,0.0,0.6653333333333333,0.0,0.020053019422539897,0.7045908183632734,0.8293429715364395,0.0,0.7370517928286853,1.0,0.8206732311852525,0.8610902909531781,0.9015073507211037
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,0.11026031349115128,0.11026031349115134,0.0,0.6653333333333333,0.0,0.0709323516410233,0.8223552894211577,0.8932602444330584,0.0,0.750996015936255,1.0,0.8608348284304534,0.902144388549302,0.9434539486681506
0.0,0.385,0.007692307692307665,0.36363636363636365,0.35714285714285715,0.0015175521465102815,0.001517552146510337,0.0,0.6653333333333333,0.0,0.021755192527133538,0.7405189620758483,0.62736858124921,0.0,0.9123505976095617,0.5,0.6168843486085475,0.6685260616456307,0.7201677746827139
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,0.06472488291485479,0.06472488291485479,0.0,0.6653333333333333,0.0,0.05569064756690012,0.7405189620758483,0.8504306642174554,0.0,0.7430278884462151,1.0,0.8331116363373706,0.8748832390177437,0.9166548416981167
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,0.0006405996435686623,0.0006405996435686068,0.0,0.6653333333333333,0.0,0.040313304596740096,0.7564870259481038,0.7377378584311055,0.0,0.8705179282868526,1.0,0.6852664278325697,0.720149860175662,0.7550332925187542
0.2,0.99,0.65,0.6363636363636364,0.7857142857142857,0.17078200704236812,0.170782007042368,0.007968127490039834,0.668,0.3333333333333333,0.6564725029350127,1.0,0.9913999381700058,0.002008032128514056,0.9899598393574297,1.0,0.8197608077072083,0.8450971774396865,0.8704335471721646
0.0,0.875,0.11111111111111116,0.5454545454545454,0.5714285714285714,0.1590901761805008,0.1590901761805008,0.007968127490039834,0.668,0.0,0.18122942713675572,0.9798792756539235,0.9763218578578244,0.0,0.9718875502008032,1.0,0.7922045556852879,0.8262072654137139,0.8602099751421399
0.0,0.875,0.07317073170731703,0.36363636363636365,0.42857142857142855,0.44032292443126086,0.4403229244312609,0.007968127490039834,0.668,0.0,0.13721507544414646,0.96579476861167,0.972445043197374,0.0,0.9759036144578314,1.0,0.8105988305921166,0.8944932081254968,0.9783875856588772
0.0,0.91,0.015873015873015928,0.2727272727272727,0.5714285714285714,0.038048239577142984,0.03804823957714304,0.007968127490039834,0.668,0.0,0.3160069444314568,0.9859154929577465,0.9362920588134829,0.0,0.9578313253012049,1.0,0.7387938943635539,0.840152779470469,0.941511664577384
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,0.18082225769171612,0.18082225769171612,0.0,0.6653333333333333,0.0,0.18163023605759077,0.9620758483033932,0.9687263255579157,0.0,0.7768924302788844,1.0,0.8897531261448427,0.9366199411685902,0.9834867561923376
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,0.0646806721494737,0.06468067214947376,0.0,0.6653333333333333,0.0,0.04838593494582022,0.7125748502994012,0.8344513517203944,0.0,0.7430278884462151,1.0,0.8350126889608059,0.8646381796339362,0.8942636703070664
0.2,0.875,0.07317073170731703,0.36363636363636365,0.42857142857142855,0.37329259843904805,0.37329259843904805,0.007968127490039834,0.668,0.0,0.3187888284926277,0.9959758551307847,0.9921953356903488,0.0,0.9839357429718876,1.0,0.8153357050905733,0.8855010634484727,0.9556664218063721
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,0.00016511852774625524,0.00016511852774636626,0.0,0.6653333333333333,0.0,0.05632819868296701,0.7904191616766467,0.7132238177984778,0.0,0.9203187250996016,0.5,0.6580516194160406,0.6859598756209601,0.7138681318258795
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,0.009769939314148823,0.009769939314148823,0.0,0.6653333333333333,0.0,0.04218346782320026,0.6926147704590818,0.76763642121936,0.0,0.7848605577689243,1.0,0.7611909632616022,0.7905594276836374,0.8199278921056727
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,0.06846153710394243,0.06846153710394243,0.0,0.6653333333333333,0.0,0.05807451104755146,0.7664670658682635,0.8656233492189387,0.0,0.7470119521912351,1.0,0.8347192860093922,0.8847159771381572,0.9347126682669223
0.4,0.985,0.17391304347826086,0.6363636363636364,0.9285714285714286,0.13130418014400735,0.1313041801440073,0.007968127490039834,0.668,0.0,0.49129910102339913,0.9979879275653923,0.9791045186832765,0.0,0.9979919678714859,1.0,0.8489104533555653,0.8511342700166116,0.853358086677658
0.0,0.385,0.007692307692307665,0.36363636363636365,0.35714285714285715,0.010733461711360026,0.010733461711360082,0.0,0.6653333333333333,0.0,0.08829335286634699,0.7604790419161677,0.739857166200917,0.0,0.8685258964143426,0.5,0.6553300056203333,0.7159586716423798,0.7765873376644263
1.0,1.0,0.9954545454545455,0.2727272727272727,0.35714285714285715,0.7370505237471447,0.7370505237471449,0.007968127490039834,0.668,1.0,0.9288402106677303,1.0,0.9931044127970927,0.23694779116465864,1.0,1.0,0.9200613747468281,0.9542870043329541,0.9885126339190802
0.0,0.385,0.007692307692307665,0.36363636363636365,0.35714285714285715,0.005268682043143125,0.005268682043143125,0.0,0.6653333333333333,0.0,0.1485562242650995,0.8423153692614771,0.8020300426043482,0.0,0.850597609561753,1.0,0.734211539715358,0.7427544401234618,0.7512973405315657
0.0,0.97,0.0,0.2727272727272727,0.21428571428571427,0.621714447672945,0.621714447672945,0.0,0.6653333333333333,0.0,0.3960592692813323,0.9820359281437125,0.8890575356053122,0.0,0.9322709163346614,1.0,0.683781717614114,0.8030176862798972,0.9222536549456805
0.0,0.875,0.052980132450331174,0.36363636363636365,0.5,0.07256080846761204,0.07256080846761204,0.007968127490039834,0.668,0.0,0.1877639126190338,0.9758551307847082,0.955508872508789,0.0,0.9578313253012049,1.0,0.7915724717047581,0.7922673447361391,0.7929622177675202
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,0.0822729621887327,0.08227296218873281,0.0,0.6653333333333333,0.0,0.03721782521776029,0.7784431137724551,0.8729513343815068,0.0,0.7569721115537849,1.0,0.8446250463315707,0.8893394454941839,0.9340538446567972
0.0,0.43999999999999995,0.015873015873015928,0.2727272727272727,0.2857142857142857,0.38330194584774535,0.38330194584774535,0.007968127490039834,0.668,0.0,0.027670057916268087,0.8812877263581489,0.8095429894854684,0.002008032128514056,0.9437751004016064,1.0,0.7276762253603027,0.8132019920889976,0.8987277588176924
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,6.556234342214307e-05,6.556234342225409e-05,0.0,0.6653333333333333,0.0,0.050786705128348264,0.7904191616766467,0.7000086871234789,0.0,0.9302788844621515,0.5,0.6372300834153328,0.6769050915436308,0.7165800996719287
0.0,0.69,0.052980132450331174,0.36363636363636365,0.5,0.018871293145431567,0.018871293145431567,0.007968127490039834,0.668,0.0,0.04384139677546173,0.8933601609657947,0.8536003753247097,0.0,0.9317269076305221,0.5,0.6615379104148157,0.694740534949696,0.7279431594845764
0.0,0.83,0.10606060606060608,0.2727272727272727,0.5,0.5638234729260498,0.5638234729260498,0.0,0.6653333333333333,0.0,0.20847512097267717,0.9840319361277445,0.9788997268346227,0.0,0.9840637450199203,1.0,0.906072131866137,0.9444538939254006,0.9828356559846643
0.0,0.43999999999999995,0.015873015873015928,0.2727272727272727,0.2857142857142857,0.10781686542380409,0.10781686542380409,0.007968127490039834,0.668,0.0,0.041991589666346196,0.8209255533199196,0.8542656005135032,0.0,0.8634538152610441,1.0,0.8061440240757327,0.8152496022067319,0.8243551803377313
0.0,0.0,0.004545454545454519,0.2727272727272727,0.2857142857142857,0.08458646641713563,0.08458646641713563,0.0,0.6653333333333333,0.0,0.03675190788525029,0.7784431137724551,0.8714934094870022,0.0,0.7529880478087649,1.0,0.8464207389286015,0.8884129462883275,0.9304051536480534
0.0,0.43999999999999995,0.015873015873015928,0.2727272727272727,0.2857142857142857,0.21193580861868966,0.21193580861868966,0.007968127490039834,0.668,0.0,0.14485587874190686,0.8108651911468813,0.810937242182968,0.0,0.8995983935742972,1.0,0.7635473000932617,0.8061865198285626,0.8488257395638635
0.0,0.875,0.11111111111111116,0.5454545454545454,0.5714285714285714,0.13651822650509193,0.13651822650509188,0.007968127490039834,0.668,0.0,0.3115478955084867,0.96579476861167,0.9596531273851883,0.0,0.9819277108433735,1.0,0.7906771711954931,0.8182996320315075,0.8459220928675217
0.0,0.735,0.015873015873015928,0.2727272727272727,0.42857142857142855,0.15273117734462394,0.15273117734462405,0.007968127490039834,0.668,0.0,0.17113708641482628,0.959758551307847,0.94935058934318,0.0,0.9618473895582329,1.0,0.8610890546519059,0.9247161959599596,0.9883433372680133
0.0,0.83,0.10606060606060608,0.2727272727272727,0.5,0.47690346801717176,0.47690346801717176,0.0,0.6653333333333333,0.0,0.212356795161334,0.9760479041916168,0.9737557276391885,0.0,0.9760956175298805,1.0,0.8970964756743205,0.9423453930783657,0.987594310482411
