feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4
0.4,0.625,0.34545454545454546,0.5,0.6428571428571429,0.5377351413310978,0.5377351413311007,0.0,0.6613333333333333,0.0,0.4987554988880867,0.9980276134122288,0.37375048247070697,0.0,1.0,1.0,0.6786969995029317,0.8746326456955958,0.9993230953464325
0.0,0.125,0.41454545454545455,1.0,0.9285714285714286,0.16389826811332375,0.16389826811332497,0.03149606299212604,0.672,0.0,0.4720734057265069,0.9898167006109979,0.35774332979809254,0.0,0.9979674796747967,0.99,0.6483334386624339,0.8717026349147879,0.999899564672728
0.8,0.125,0.41454545454545455,1.0,0.9285714285714286,0.7024811083225291,0.70248110832253,0.03149606299212604,0.672,1.0,0.5052817256232969,1.0,0.3783241598654077,0.0,1.0,0.98,0.658615973679084,0.8720606935197535,0.9979960697352719
0.2,0.3472222222222222,0.41454545454545455,1.0,1.0,0.44259024324555396,0.44259024324555707,0.03149606299212604,0.672,0.0,0.46570399107031024,0.9938900203665988,0.35310633907737354,0.0,0.9959349593495935,1.0,0.6764117174383821,0.8833145675546988,0.999298907973909
0.8,0.6805555555555556,0.5854545454545454,1.0,0.5714285714285714,0.5962651059560875,0.5962651059560852,0.0,0.6613333333333333,1.0,0.5137059258399679,1.0,0.4146689460854516,0.0,1.0,1.0,0.6758169463504459,0.8777795894789472,0.9979272635048176
0.6,0.8888888888888888,0.34545454545454546,0.5,0.21428571428571427,0.1635564650590816,0.1635564650590784,0.0,0.6613333333333333,1.0,0.5030606844562946,1.0,0.4136042660877315,0.0,1.0,0.98,0.6527633459007925,0.8729518109709049,0.9977263291012859
0.0,0.9722222222222222,0.408695652173913,1.0,0.42857142857142855,0.08245068106278497,0.08245068106278164,0.0,0.6613333333333333,0.0,0.47252792451114656,0.9822485207100592,0.33825971580267533,0.0,1.0,0.98,0.6519735107460184,0.8696716430430361,0.9989472543580163
0.2,0.01388888888888884,0.34545454545454546,0.5,0.5,0.035693901458455635,0.0356939014584588,0.0,0.6613333333333333,0.0,0.4896813009153448,0.9921104536489151,0.3407389622149891,0.0,1.0,0.98,0.6226711505025962,0.8657703485130156,0.9979543956858603
0.6,0.0,0.408695652173913,1.0,0.9285714285714286,0.7174427089252949,0.7174427089252984,0.0,0.6613333333333333,0.6666666666666666,0.5169482392140883,1.0,0.4144191239261641,0.005905511811023622,0.9960629921259843,1.0,0.6853236438705038,0.892518051391485,0.9985361674331438
0.4,0.7083333333333333,0.5913043478260869,1.0,0.5714285714285714,0.013193844807920407,0.013193844807922073,0.03149606299212604,0.672,1.0,0.502549780580632,1.0,0.3841245372814496,0.0,1.0,0.99,0.6184440422191644,0.8619250770009635,0.9996680495831894
0.8,0.0,0.408695652173913,1.0,0.9285714285714286,0.1662428633019276,0.1662428633019244,0.0,0.6613333333333333,1.0,0.5215720497905214,1.0,0.40191655067911725,0.001968503937007874,1.0,0.99,0.6635765536172323,0.8810212640262935,0.9973442423139443
0.6,0.7777777777777778,0.5913043478260869,1.0,0.5714285714285714,0.36103215623361473,0.36103215623361673,0.03149606299212604,0.672,1.0,0.521787016070764,1.0,0.4078435377255665,0.0040650406504065045,1.0,1.0,0.686017269818041,0.8754907472810385,0.9959868937448926
0.2,0.6805555555555556,0.5854545454545454,1.0,0.5714285714285714,0.08806090798775856,0.08806090798775607,0.0,0.6613333333333333,0.5,0.5017332149152826,1.0,0.40454207328460523,0.001968503937007874,0.9960629921259843,1.0,0.7269379336185064,0.8871008641832806,0.9990098259702491
0.8,0.7083333333333333,0.5913043478260869,1.0,0.5714285714285714,0.42247747142668624,0.42247747142668945,0.03149606299212604,0.672,0.5555555555555556,0.5031221906024197,1.0,0.4253079007407322,0.022357723577235773,0.9776422764227642,1.0,0.7562907995837674,0.9031477011561619,0.9916684847272392
0.4,0.3472222222222222,0.41454545454545455,1.0,1.0,0.014015763706145878,0.014015763706147488,0.03149606299212604,0.672,0.3333333333333333,0.4949475952633531,0.9979633401221996,0.40181969269574214,0.0020325203252032522,0.9878048780487805,0.98,0.65785826816529,0.8852998352942266,0.9971651365881181
0.4,0.625,0.34545454545454546,0.5,0.6428571428571429,0.4725756788330725,0.4725756788330722,0.0,0.6613333333333333,1.0,0.5018691303784599,1.0,0.37826743919887207,0.0,1.0,0.99,0.6557211186258378,0.8918700991293204,0.9978887847845564
0.4,0.6805555555555556,0.6545454545454545,0.5,0.5,0.13014571321376778,0.13014571321376678,0.03149606299212604,0.672,0.5,0.5002961690647109,1.0,0.37654600307092834,0.0,0.9959349593495935,1.0,0.7013333866867484,0.884395401727805,0.9966207044406977
0.6,0.9722222222222222,0.408695652173913,1.0,0.42857142857142855,0.23908063545274894,0.23908063545275016,0.0,0.6613333333333333,0.0,0.4890254928676445,0.9980276134122288,0.36462484068981926,0.001968503937007874,1.0,0.99,0.6280432605271411,0.868651443634372,0.9963775685429016
0.4,0.7777777777777778,0.5913043478260869,1.0,0.5714285714285714,0.4859390533730361,0.48593905337303805,0.03149606299212604,0.672,0.5,0.50661085642678,1.0,0.4416992490504851,0.0,0.9959349593495935,0.99,0.6259418354477714,0.8976149317359188,0.9987560635821734
0.2,0.01388888888888884,0.34545454545454546,0.5,0.5,0.1392966575353417,0.13929665753534054,0.0,0.6613333333333333,0.2857142857142857,0.49467399907952514,0.9960552268244576,0.3889163077104011,0.003937007874015748,0.9744094488188977,1.0,0.7563615033418606,0.890334036188396,0.9993072338516211
0.4,0.0,0.408695652173913,1.0,0.9285714285714286,0.2853537812528767,0.28535378125287597,0.0,0.6613333333333333,1.0,0.506473481240268,1.0,0.4056174009875043,0.0,0.9940944881889764,1.0,0.675615116154079,0.8865809688435137,0.9962522064197803
0.4,0.0,0.408695652173913,1.0,0.9285714285714286,0.35690752581192275,0.356907525811921,0.0,0.6613333333333333,0.25,0.4778077398864322,0.9940828402366864,0.35544745459625415,0.015748031496062992,0.9744094488188977,1.0,0.7001398503044518,0.904972324562251,0.9999155592892556
0.2,0.6805555555555556,0.6545454545454545,0.5,0.5,0.8121264102130885,0.8121264102130863,0.03149606299212604,0.672,1.0,0.5107910097834174,1.0,0.38875469343851543,0.0,1.0,0.98,0.6374195343197632,0.8729978773691678,0.9996452804888488
0.8,0.7638888888888888,0.5854545454545454,1.0,0.5714285714285714,0.7556039163076493,0.7556039163076492,0.0,0.6613333333333333,1.0,0.501518825756783,1.0,0.3673061557263049,0.0,1.0,0.99,0.6666666666666666,0.864778845652869,0.9982464517918838
0.4,0.7083333333333333,0.5854545454545454,1.0,0.9285714285714286,0.503259704724223,0.5032597047242242,0.0,0.6613333333333333,1.0,0.5019149807874496,1.0,0.3889369380593074,0.0,1.0,1.0,0.6772311654265076,0.8727588475841757,0.9991373584577172
0.2,0.7083333333333333,0.41454545454545455,1.0,0.42857142857142855,0.07406928237812993,0.07406928237812715,0.03149606299212604,0.672,0.5,0.4944001571264486,0.9979633401221996,0.3772479237218195,0.0020325203252032522,0.9979674796747967,1.0,0.6669364904424978,0.8758393797127435,0.9991314688345703
0.8,0.8888888888888888,0.41454545454545455,1.0,0.9285714285714286,0.9104737370347198,0.9104737370347216,0.03149606299212604,0.672,1.0,0.5140145210063194,1.0,0.4011433154471524,0.006097560975609756,1.0,1.0,0.7000424751860777,0.8893811206596948,0.9964954048377609
0.8,0.7638888888888888,0.5854545454545454,1.0,0.5714285714285714,0.5812787198138546,0.5812787198138554,0.0,0.6613333333333333,1.0,0.5092574821241105,1.0,0.3798333977912195,0.001968503937007874,0.9980314960629921,0.99,0.6666666666666666,0.8860300755327057,0.999790668808331
0.2,0.01388888888888884,0.34545454545454546,0.5,0.5,0.23688225693329545,0.23688225693329878,0.0,0.6613333333333333,0.5,0.512826340801633,1.0,0.42542678168819514,0.001968503937007874,0.9960629921259843,1.0,0.6774631396382439,0.8926809955736661,0.9948235947629498
0.0,0.9583333333333334,0.408695652173913,1.0,0.42857142857142855,0.16297958396410928,0.1629795839641094,0.0,0.6613333333333333,0.0,0.47970308976918175,0.9842209072978304,0.40692932880136823,0.0,0.9901574803149606,1.0,0.7223927814282478,0.887837055806202,0.99890180453433
0.8,0.125,0.41454545454545455,1.0,0.9285714285714286,0.40525126315156146,0.405251263151562,0.03149606299212604,0.672,1.0,0.505577874925124,1.0,0.3636343913093215,0.0,1.0,0.99,0.6570055447985558,0.8816942163359205,0.9979842913404703
0.6,0.0,0.408695652173913,1.0,0.9285714285714286,0.4678640524678729,0.46786405246787466,0.0,0.6613333333333333,0.6666666666666666,0.511570253215774,1.0,0.4113372660172757,0.003937007874015748,0.9980314960629921,1.0,0.6830192156147433,0.8903257238983637,0.9984968705013846
0.2,0.3472222222222222,0.41454545454545455,1.0,1.0,0.15284960120425994,0.1528496012042631,0.03149606299212604,0.672,0.0,0.4786833625545801,0.9918533604887984,0.33940406917680765,0.0,0.9979674796747967,0.99,0.6602566769643934,0.8799078565372178,0.9998970833298824
0.6,0.9722222222222222,0.6545454545454545,0.5,0.5714285714285714,0.8255727836246751,0.8255727836246749,0.03149606299212604,0.672,0.25,0.4992129922331905,0.9979633401221996,0.3869348389938263,0.006097560975609756,0.9878048780487805,0.99,0.6565377466638819,0.8954709305525931,0.9961685551121785
0.2,0.0,0.408695652173913,1.0,0.9285714285714286,0.22989062805683358,0.22989062805683697,0.0,0.6613333333333333,0.0,0.49291263115007977,0.9921104536489151,0.35943244281817177,0.0,0.9980314960629921,1.0,0.6739999872479083,0.8861687446434509,0.9993116336387183
0.2,0.01388888888888884,0.34545454545454546,0.5,0.5,0.0443701016583008,0.0443701016582973,0.0,0.6613333333333333,0.0,0.4851070031125678,0.9980276134122288,0.3858655440476808,0.001968503937007874,0.9980314960629921,0.99,0.6666666666666666,0.8828431006520367,0.997056539708146
0.6,0.9027777777777778,0.41454545454545455,1.0,0.7857142857142857,0.80105406055542,0.8010540605554191,0.03149606299212604,0.672,1.0,0.510544443533735,1.0,0.4416310962452624,0.0020325203252032522,1.0,0.99,0.6666666666666666,0.8817713623659464,0.9981272235753559
0.2,0.7361111111111112,0.5913043478260869,1.0,0.42857142857142855,0.2210440384200535,0.22104403842005094,0.03149606299212604,0.672,0.0,0.4864308061215248,0.9979633401221996,0.38532126554970136,0.0020325203252032522,0.9959349593495935,1.0,0.6852662102048707,0.8878806445184503,0.999501030445004
0.4,0.875,0.41454545454545455,1.0,0.5,0.4907964181723685,0.49079641817236713,0.03149606299212604,0.672,0.0,0.47086172054192255,0.9959266802443992,0.3612447716146374,0.0020325203252032522,0.9959349593495935,0.99,0.6365854566504809,0.8935642042354657,0.9974433478797524
1.0,0.9444444444444444,0.5854545454545454,1.0,0.5,0.06661054406023681,0.06661054406023592,0.0,0.6613333333333333,1.0,0.5188996808130715,1.0,0.39647868766703365,0.001968503937007874,1.0,0.99,0.65304529848927,0.8858422511886327,0.9996496674683996
0.4,0.3472222222222222,0.41454545454545455,1.0,1.0,0.10767229780500653,0.10767229780500526,0.03149606299212604,0.672,0.0,0.48731024322070393,0.9979633401221996,0.35334326854983533,0.0020325203252032522,0.9939024390243902,1.0,0.7120221218996591,0.8965603428290279,0.998760179795725
0.4,0.7083333333333333,0.41454545454545455,1.0,0.42857142857142855,0.01943365390629337,0.019433653906295534,0.03149606299212604,0.672,0.0,0.4947779269962873,0.9959266802443992,0.3604558763310054,0.0,1.0,0.99,0.641651669376445,0.8659982210111888,0.9981506788500891
0.8,0.3472222222222222,0.41454545454545455,1.0,1.0,0.4637564315082231,0.463756431508225,0.03149606299212604,0.672,1.0,0.5178076248093851,1.0,0.3930971003712319,0.0,1.0,1.0,0.6946072109803312,0.8784160302371117,0.994829788585082
0.4,0.125,0.41454545454545455,1.0,0.9285714285714286,0.0585749900822935,0.05857499008229633,0.03149606299212604,0.672,0.0,0.49863376125063297,0.9979633401221996,0.39030451872705096,0.0,0.9959349593495935,1.0,0.7059047156536952,0.8782365448443165,0.9992769233264635
0.4,0.01388888888888884,0.34545454545454546,0.5,0.5,0.5608238262394027,0.5608238262394029,0.0,0.6613333333333333,1.0,0.5029924843559164,1.0,0.4234443719894787,0.0,1.0,0.98,0.6562258146317882,0.8658223798599956,0.9995055924360364
0.2,0.125,0.41454545454545455,1.0,0.9285714285714286,0.43915209648886266,0.43915209648886144,0.03149606299212604,0.672,0.42857142857142855,0.5059549953865612,1.0,0.42049883305353897,0.012195121951219513,0.9776422764227642,1.0,0.7137090711583308,0.8961626480126731,0.9999538145813709
